ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_TIENEETNIA;ESTU_PAIS_RESIDE;ESTU_ETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_ESTABLECIMIENTO;ESTU_ESTADOINVESTIGACION;ESTU_GENERACION-E
CC;COLOMBIA;F;23/06/1997;20194;SB11201940028690;ESTUDIANTE;No;COLOMBIA;NA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Estrato 1;1 a 2;Uno;Secundaria (Bachillerato) completa;Ninguno;Es vendedor o trabaja en atención al público;Trabaja en el hogar, no trabaja o estudia;No;Si;No;No;No;No;No;No;0 A 10 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Mejor;30 minutos o menos;Entre 30 y 60 minutos;0;No;123141;1,13001E+11;INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,13001E+11;INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ;S;URBANO;NOCHE;13001;CARTAGENA DE INDIAS;13;BOLIVAR;N;13001;CARTAGENA DE INDIAS;BOLIVAR;13;31;2;1;35;10;1;36;15;1;34;17;1;37;18;A-;171;6;392.457.367.995.587;1;2;PUBLICAR;NO
TI;COLOMBIA;M;17/12/1999;20194;SB11201940317225;ESTUDIANTE;No;COLOMBIA;NA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Estrato 2;3 a 4;Dos;No sabe;Secundaria (Bachillerato) completa;No sabe;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;No;Si;Si;No;No;No;No;26 A 100 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Mejor;No leo por entretenimiento;Más de 3 horas;0;No;45344;1,11001E+11;COLEGIO MARCO FIDEL SUAREZ (IED);MIXTO;OFICIAL;A;N;ACADÉMICO;1,11001E+11;COL DIST U.B. MARCO FIDEL SUAREZ;S;URBANO;TARDE;11001;BOGOTÁ D.C.;11;BOGOTÁ;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;59;73;3;50;47;2;47;46;2;42;41;2;40;28;A-;244;50;506.461.576.851.521;2;3;PUBLICAR;NO
TI;COLOMBIA;F;7/02/2002;20194;SB11201940179714;ESTUDIANTE;No;COLOMBIA;NA;TOLIMA;73;HERVEO;73347;Estrato 1;3 a 4;Dos;Primaria completa;Secundaria (Bachillerato) incompleta;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Si;Si;No;Si;No;No;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;61622;2,73347E+11;INSTITUCION EDUCATIVA JUAN XXIII;MIXTO;OFICIAL;A;N;ACADÉMICO;2,73347E+11;I.E. JUAN XXIII - SEDE PRINCIPAL;S;RURAL;COMPLETA;73347;HERVEO;73;TOLIMA;N;73283;FRESNO;TOLIMA;73;61;78;3;56;67;3;58;80;3;56;77;3;62;87;A2;290;79;456.290.500.357.814;2;2;PUBLICAR;NO
TI;COLOMBIA;M;21/09/2001;20194;SB11201940516799;ESTUDIANTE;No;COLOMBIA;NA;META;50;VILLAVICENCIO;50001;Estrato 4;3 a 4;Tres;Secundaria (Bachillerato) completa;Educación profesional incompleta;Es operario de máquinas o conduce vehículos (taxita, chofer);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;Si;Si;Si;Si;Si;Si;Si;11 A 25 LIBROS;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Igual;30 minutos o menos;Más de 3 horas;0;No;11015;1,50001E+11;INEM LUIS LOPEZ DE MESA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,50001E+11;INEM LUIS LOPEZ DE MESA;S;URBANO;MAÑANA;50001;VILLAVICENCIO;50;META;N;50001;VILLAVICENCIO;META;50;43;21;2;54;62;3;36;14;1;26;3;1;48;51;A1;202;22;645.676.346.672.346;4;3;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;17/04/2003;20194;SB11201940560426;ESTUDIANTE;No;COLOMBIA;NA;NARIÑO;52;PASTO;52001;Estrato 2;3 a 4;Tres;Primaria completa;Secundaria (Bachillerato) incompleta;Trabaja por cuenta propia (por ejemplo plomero, electricista);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;No;No;Si;No;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Peor;Entre 30 y 60 minutos;30 minutos o menos;0;No;724963;1,52001E+11;I.E.M. LICEO CENTRAL DE NARIÑO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,52001E+11;I.E.M. LIC CENTRAL DE NARIÑO - SEDE PRINCIPAL;S;URBANO;UNICA;52001;PASTO;52;NARIÑO;N;52001;PASTO;NARIÑO;52;70;96;4;69;94;3;58;81;3;56;77;3;63;88;A2;316;90;469.167.638.747.415;2;2;PUBLICAR;NO
TI;COLOMBIA;M;14/11/2002;20194;SB11201940028037;ESTUDIANTE;No;COLOMBIA;NA;VALLE;76;CARTAGO;76147;Estrato 2;3 a 4;Dos;Educación profesional completa;Educación profesional completa;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);Si;Si;No;No;No;No;No;No;11 A 25 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;Menos de 10 horas;Si, en efectivo;18309;1,76147E+11;SOR MARIA JULIANA;MIXTO;OFICIAL;A;N;TÉCNICO;1,76147E+11;SOR MARIA JULIANA;S;URBANO;TARDE;76147;CARTAGO;76;VALLE;N;76147;CARTAGO;VALLE;76;64;87;3;64;87;3;60;85;3;64;92;3;64;89;A2;315;90;493.897.556.827.033;2;3;PUBLICAR;NO
TI;COLOMBIA;M;22/07/2002;20194;SB11201940097251;ESTUDIANTE;No;COLOMBIA;NA;QUINDIO;63;ARMENIA;63001;Estrato 3;3 a 4;Tres;Primaria incompleta;Secundaria (Bachillerato) incompleta;Es agricultor, pesquero o jornalero;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;No;Si;Si;No;No;No;No;11 A 25 LIBROS;3 a 5 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;662064;1,63001E+11;CRISTOBAL COLON;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,63001E+11;CRISTOBAL COLON;S;URBANO;UNICA;63001;ARMENIA;63;QUINDIO;N;63001;ARMENIA;QUINDIO;63;47;31;2;44;31;2;41;27;2;36;24;1;48;51;A1;212;28;495.111.120.126.793;2;2;PUBLICAR;NO
TI;COLOMBIA;M;22/01/2001;20194;SB11201940182001;ESTUDIANTE;No;COLOMBIA;NA;NORTE SANTANDER;54;CÚCUTA;54001;Estrato 1;3 a 4;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Si;No;Si;No;No;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Peor;30 minutos o menos;Más de 3 horas;Entre 11 y 20 horas;Si, en efectivo;69815;1,54001E+11;COL SAN JOSÉ DE CÚCUTA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,54001E+11;COL SAN JOSÉ DE CÚCUTA - SEDE PRINCIPAL;S;URBANO;TARDE;54001;CÚCUTA;54;NORTE SANTANDER;N;54001;CÚCUTA;NORTE SANTANDER;54;57;68;3;74;98;4;54;71;2;62;88;3;52;63;A1;305;86;420.835.386.814.551;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;4/12/2002;20194;SB11201940550054;ESTUDIANTE;No;COLOMBIA;NA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Estrato 3;5 a 6;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Si;Si;Si;Si;Si;No;Si;No;11 A 25 LIBROS;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;726133;1,11001E+11;COLEGIO QUIROGA ALIANZA (IED);MIXTO;OFICIAL;A;N;ACADÉMICO;1,11001E+11;CENT EDUC DIST QUIROGA ALIANZA;S;URBANO;UNICA;11001;BOGOTÁ D.C.;11;BOGOTÁ;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;70;97;4;63;84;3;63;91;3;62;90;3;70;94;B1;325;93;581.546.522.126.381;3;3;PUBLICAR;NO
TI;COLOMBIA;M;19/04/2003;20194;SB11201940541149;ESTUDIANTE;No;COLOMBIA;NA;MAGDALENA;47;EL BANCO;47245;Estrato 2;3 a 4;Tres;Secundaria (Bachillerato) incompleta;Técnica o tecnológica completa;No sabe;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;Si;Si;Si;Si;No;Si;Si;11 A 25 LIBROS;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Igual;30 minutos o menos;30 minutos o menos;Menos de 10 horas;Si, en especie;10736;1,47245E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA TERESA DE JESUS;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,47245E+11;COL DPTAL SANTA TERESA DE JESUS;S;URBANO;MAÑANA;47245;EL BANCO;47;MAGDALENA;N;47245;EL BANCO;MAGDALENA;47;39;12;2;49;44;2;43;32;2;35;20;1;35;15;A-;205;23;586.602.284.544.548;3;2;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;F;27/03/2000;20194;SB11201940536728;ESTUDIANTE;No;COLOMBIA;NA;NARIÑO;52;PASTO;52001;Estrato 2;1 a 2;Dos;Técnica o tecnológica completa;Técnica o tecnológica completa;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Si;No;Si;Si;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;Nunca o rara vez comemos eso;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;11478;3,52001E+11;LIC SANTA TERESITA DE PASTO;MIXTO;NO OFICIAL;B;N;ACADÉMICO;3,52001E+11;LIC SANTA TERESITA DE PASTO;S;URBANO;MAÑANA;52001;PASTO;52;NARIÑO;N;52001;PASTO;NARIÑO;52;39;12;2;37;14;2;41;27;2;43;43;2;36;18;A-;198;19;521.665.133.232.447;3;3;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;M;23/04/1999;20194;SB11201940091618;ESTUDIANTE;No;COLOMBIA;NA;BOLIVAR;13;MAGANGUÉ;13430;Estrato 3;5 a 6;Dos;Técnica o tecnológica completa;Técnica o tecnológica completa;Es operario de máquinas o conduce vehículos (taxita, chofer);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;Si;No;No;No;No;Si;No;0 A 10 LIBROS;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Igual;Entre 1 y 2 horas;Más de 3 horas;Entre 21 y 30 horas;No;134494;1,1343E+11;INST EDUC LICEO JOAQUIN F. VELEZ;MIXTO;OFICIAL;A;N;ACADÉMICO;1,1343E+11;LICEO JOAQUIN F. VELEZ;S;URBANO;SABATINA;13430;MAGANGUÉ;13;BOLIVAR;N;13430;MAGANGUÉ;BOLIVAR;13;46;29;2;49;45;2;45;41;2;41;38;2;46;45;A-;227;38;508.588.232.992.403;2;2;PUBLICAR;GENERACION E - GRATUIDAD
