Year;City;sport;country;gender;medal;age
1896;Athens;Aquatics;HUN;Men;Gold;19
1896;Athens;Aquatics;AUT;Men;Silver;24
1896;Athens;Aquatics;GRE;Men;Bronze;25
1896;Athens;Aquatics;GRE;Men;Gold;18
1896;Athens;Aquatics;GRE;Men;Silver;20
1896;Athens;Aquatics;GRE;Men;Bronze;27
1896;Athens;Aquatics;HUN;Men;Gold;30
1896;Athens;Aquatics;GRE;Men;Silver;18
1896;Athens;Aquatics;GRE;Men;Bronze;22
1896;Athens;Aquatics;AUT;Men;Gold;30
1896;Athens;Aquatics;GRE;Men;Silver;28
1896;Athens;Athletics;USA;Men;Bronze;21
1896;Athens;Athletics;HUN;Men;Bronze;22
1896;Athens;Athletics;USA;Men;Gold;19
1896;Athens;Athletics;GER;Men;Silver;26
1896;Athens;Athletics;USA;Men;Gold;23
1896;Athens;Athletics;GBR;Men;Silver;25
1896;Athens;Athletics;FRA;Men;Bronze;25
1896;Athens;Athletics;AUS;Men;Gold;25
1896;Athens;Athletics;USA;Men;Silver;30
1896;Athens;Athletics;GBR;Men;Bronze;19
1896;Athens;Athletics;USA;Men;Gold;30
1896;Athens;Athletics;USA;Men;Silver;26
1896;Athens;Athletics;GRE;Men;Bronze;23
1896;Athens;Athletics;AUS;Men;Gold;21
1896;Athens;Athletics;HUN;Men;Silver;30
1896;Athens;Athletics;GRE;Men;Bronze;18
1896;Athens;Athletics;USA;Men;Gold;25
1896;Athens;Athletics;GRE;Men;Silver;19
1896;Athens;Athletics;USA;Men;Gold;20
1896;Athens;Athletics;USA;Men;Silver;22
1896;Athens;Athletics;USA;Men;Silver;22
1896;Athens;Athletics;USA;Men;Bronze;30
1896;Athens;Athletics;USA;Men;Gold;23
1896;Athens;Athletics;USA;Men;Silver;23
1896;Athens;Athletics;HUN;Men;Bronze;22
1896;Athens;Athletics;GRE;Men;Gold;30
1896;Athens;Athletics;GRE;Men;Silver;20
1896;Athens;Athletics;GRE;Men;Bronze;22
1896;Athens;Athletics;GRE;Men;Bronze;19
1896;Athens;Athletics;USA;Men;Gold;30
1896;Athens;Athletics;USA;Men;Silver;30
1896;Athens;Athletics;GRE;Men;Bronze;21
1896;Athens;Athletics;USA;Men;Gold;22
1896;Athens;Athletics;GRE;Men;Silver;22
1896;Athens;Athletics;GRE;Men;Bronze;29
